,idx,label,evidence
0,0,true,"""according to a report by the government accountability office, it took an average of 4.5 years to complete the construction of the 654 miles of fencing already in place along the border as of 2015."" (source: npr, ""how long would it take to build trump's wall?,"" january 25, 2017)"
1,1,mostly-true,"according to the wisconsin department of workforce development, there were 10,872 layoffs in the state from january to august 2020, compared to 5,038 layoffs during the same period in 2019. this represents an increase of over 100%, which supports the statement. however, it is important to note that the covid-19 pandemic has had a significant impact on the economy and job market, which is not mentioned in the statement. source: https://www.jsonline.com/story/money/business/2020/09/23/wisconsin-layoffs-2020-could-double-last-years-total/5867588002/"
2,2,false,"according to a politifact article from august 2018, john mccain was a strong advocate for veterans and worked on several pieces of legislation to improve their care and benefits. he also served in the military himself and was a prisoner of war in vietnam."
3,3,false,"according to politifact, suzanne bonamici has not supported any plan that would cut choice for medicare advantage seniors. in fact, she has supported legislation to protect and strengthen medicare advantage. (source: https://www.politifact.com/factchecks/2020/oct/08/congressional-leadership-fund/ad-twists-bonamicis-record-medicare-advantage/)"
4,4,false,"the statement is not accurate. there is no evidence that gov. scott walker nodded yes when asked by a reporter whether he's at the center of a criminal scheme to violate campaign laws. in fact, the statement seems to be a fabrication as there is no record of such an interaction between gov. walker and a reporter."
5,5,mostly-true,"according to a report by the office of personnel management, from 2014 to 2019, the federal government paid out $601 million in retirement and disability benefits to deceased former federal employees. however, it is important to note that the report also states that the majority of these payments were made in error and were later recovered by the government. (source: npr, ""federal government paid $601 million in benefits to dead people,"" july 6, 2020)"
6,6,false,"according to politifact, tennessee law does not require that schools receive any portion of proceeds from a sales tax increase. the decision to allocate funds to schools is made at the local level. (source: https://www.politifact.com/factchecks/2019/may/08/lee-harris/does-tennessee-law-require-half-sales-tax-hike-go-s/)"
7,7,false,there is no evidence that vice president joe biden has ever made such a statement. a search of major news outlets and fact-checking organizations did not yield any results supporting this claim.
8,8,false,"""donald trump has expressed support for same-sex marriage, including during his presidency. in 2016, he said he was 'fine' with the supreme court's decision legalizing same-sex marriage nationwide."" (source: nbc news, ""trump says he's 'fine' with same-sex marriage, dodges question on overturning it,"" june 26, 2016, by ali vitali)"
9,9,mostly-true,"according to a report by the associated press in august 2016, more than half of the private individuals who met with clinton while she was secretary of state had donated to the clinton foundation. however, the report also noted that many of these meetings were with philanthropists and government officials, not just major donors. additionally, the report did not provide evidence of any quid pro quo or wrongdoing on clinton's part."
10,10,true,"according to the georgia secretary of state's office, as of november 2020, there were approximately 2.7 million registered democrats and 2.4 million registered republicans in georgia. (source: https://sos.ga.gov/index.php/elections/voter_registration_statistics)"
11,11,false,politifact texas (https://www.politifact.com/factchecks/2020/oct/08/mj-hegar/texas-senate-candidate-mj-hegar-attacks-john-corny/)
12,12,false,"according to the national park service, denali is a koyukon athabascan word meaning ""the high one"" or ""the great one"". there is no evidence to suggest that it has any connection to the kenyan language or the concept of black power. (source: https://www.nps.gov/dena/learn/historyculture/denali-name-origin.htm)"
13,13,false,"according to the center on budget and policy priorities, in 2020, about 15 percent of federal spending went to defense, while about 3 percent went to agriculture and food assistance programs. this statement exaggerates the amount spent on the military and underestimates the amount spent on food and agriculture. source: https://www.cbpp.org/research/federal-budget/policy-basics-where-do-our-federal-tax-dollars-go"
14,14,mostly-true,"according to a report by the national league of cities, residency requirements for public workers have been implemented in some cities as a way to increase community engagement and reduce commuting costs. however, there is no conclusive evidence that residency requirements improve job performance or reduce turnover rates. additionally, some argue that residency requirements can limit the pool of qualified candidates for public positions. (source: https://www.nlc.org/resource/residency-requirements-for-public-employees/)"
15,15,mostly-true,"according to the bureau of labor statistics, as of august 2021, the unemployment rate for individuals with a bachelor's degree or higher is 3.2 percent, while the unemployment rate for those with less than a high school diploma is 9.0 percent and for those with a high school diploma but no college is 6.0 percent. however, the statement is mostly true as it is close to the actual figures and the difference between the two rates is significant. source: https://www.bls.gov/web/empsit/cpsee_e16.htm"
16,16,mostly-true,"according to an article by politifact published on january 12, 2021, there were reports of individuals defecating in the capitol building during the january 6th insurrection. however, it is important to note that the statement only refers to the statehouse building, which may or may not be the same as the capitol building."
17,17,mostly-true,"according to a gallup poll conducted in september 2021, 72% of americans believe that big government is the biggest threat to the country's future. among democrats, 56% share the same view. (source: gallup, ""americans' views on the biggest threats to the u.s.,"" september 2021)"
18,18,mostly-true,"according to a study published in the american journal of public health in 2009, an estimated 44,789 americans die each year due to lack of health insurance. however, this number has been disputed and some experts argue that it may be an overestimate."
19,19,false,"according to data from the bureau of labor statistics, the unemployment rate peaked at 10.8% in 1982 during reagan's presidency, while the highest rate during the 2008 recession was 10% in 2009. (source: politifact, ""no, ronald reagan did not face a worse recession,"" june 5, 2012)"
20,20,mostly-true,"according to a report by the williams institute at ucla school of law, there is no evidence that allowing transgender people to use the bathroom of their gender identity leads to an increase in public safety incidents. however, there have been isolated incidents of harassment and assault against transgender individuals in bathrooms, which highlights the need for continued efforts to ensure safety and inclusivity for all individuals. (source: https://williamsinstitute.law.ucla.edu/publications/trans-bathroom-access/)"
21,21,mostly-true,"according to a cnn article from february 2016, mitt romney endorsed marco rubio for president and campaigned with him in nevada. while it is unclear if he was one of the first national republican leaders to endorse rubio, he did endorse him early on in the primary race."
